,5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
"neighbors,avg,important",0.7855000000000001,0.7813,0.7712999999999999,0.7588999999999999,0.767,0.7577,0.6843999999999999,0.6203000000000001,0.6101,0.6073999999999999,0.6601,0.6593000000000001,0.7158999999999999,0.7177999999999999,0.7194999999999999,0.7093,0.7184999999999999,0.7242999999999999,0.7184999999999999,0.7091000000000001
"neighbors,std,important",0.004566180022732354,0.006083584469702058,0.004561797891182821,0.0034770677301427452,0.010207840124139885,0.008379140767405696,0.04776232825145774,0.0689333736299044,0.05363664791912337,0.05246751375851539,0.03773181681287027,0.03298196476864287,0.008466994744299782,0.007934733769950957,0.004477722635447627,0.010080178569846875,0.006530696746902284,0.005604462507680826,0.010744766167767459,0.01115750868249717
"jaccard,avg,important",0.7822,0.7808,0.7865,0.7716999999999999,0.7779,0.7769999999999999,0.7733,0.7628,0.7591,0.758,0.7589,0.7571,0.7447999999999999,0.7434,0.7464000000000001,0.7304999999999999,0.7347,0.7249,0.7277,0.7132
"jaccard,std,important",0.004093897898091748,0.005192301994298872,0.004080441152620636,0.004838388161361182,0.0034190641994557547,0.005949789912257412,0.003348133808556644,0.005688585061331162,0.003269556544854366,0.0029325756597230386,0.005204805471869247,0.004657252408878011,0.00550999092558237,0.0048414873747640854,0.00741889479639657,0.0078006409993025645,0.008075270893288975,0.008607554821202136,0.00651229606206598,0.01563841424185968
"cosine,avg,important",0.7806,0.7824,0.7836000000000001,0.7789000000000001,0.7815,0.7805,0.7732000000000001,0.7751,0.7732000000000001,0.7683,0.7656,0.7676000000000001,0.7565000000000002,0.7539,0.747,0.7498,0.7356,0.7333999999999999,0.7155999999999999,0.7045000000000001
"cosine,std,important",0.005517245689653494,0.003611094017053561,0.004498888751680801,0.00480520551069359,0.0036124783736376917,0.0035846896657869875,0.005287721626560919,0.0027000000000000027,0.003944616584663207,0.0029342801502242446,0.0035552777669262386,0.0031685959035509747,0.004410215414239993,0.00550363516232681,0.006557438524302007,0.005192301994298872,0.0045650848842053345,0.008651011501552876,0.01436802004452946,0.01527252434930126
"norm,avg,important",0.7792,0.7707,0.7620000000000001,0.758,0.7611,0.7584000000000001,0.7557,0.7424999999999999,0.7433000000000001,0.7473000000000001,0.74,0.7346999999999999,0.7385,0.7163999999999999,0.7051999999999999,0.7253999999999999,0.7168,0.7132000000000001,0.7113,0.7187
"norm,std,important",0.003944616584663207,0.004879549159502345,0.004171330722922846,0.007028513356322238,0.0040360872141221174,0.005257375771237971,0.004196427051671461,0.004387482193696065,0.006841783393238935,0.004691481642295965,0.009444575162494084,0.008222530024268693,0.009189668111526127,0.009871170143402462,0.00524976189936268,0.009789790600416343,0.008471127433818955,0.0225068878346163,0.015918856742869438,0.007497332859090632
"neighbors,avg,not important",0.7786000000000001,0.7719,0.7678999999999999,0.7676000000000001,0.7676000000000001,0.764,0.7644,0.7602,0.7557,0.7354,0.7411,0.7429,0.7373000000000001,0.7356999999999999,0.7357,0.7264999999999999,0.7224999999999999,0.7296,0.7167999999999999,0.7059999999999998
"neighbors,std,not important",0.0037735924528226445,0.0073681748079154645,0.004229657196511324,0.00521919534027996,0.008685620300243392,0.010844353369380777,0.004800000000000005,0.007972452571197906,0.007988116173416616,0.01651181395244025,0.013590069904161653,0.007020683727387247,0.009839207285142445,0.006293647591023831,0.005100000000000005,0.007186793443532386,0.005554277630799531,0.005370288632839026,0.0042142615011410995,0.019636700333813716
"jaccard,avg,not important",0.7812,0.7689000000000001,0.7724,0.7641000000000001,0.7676000000000001,0.7665,0.7615000000000001,0.7558,0.7624000000000001,0.7492,0.7395999999999999,0.7268000000000001,0.7192999999999999,0.7107,0.6944,0.6942,0.7111,0.7070999999999998,0.7111,0.7196
"jaccard,std,not important",0.004935585071701231,0.007790378681424935,0.005332916650389358,0.005769748694700668,0.004270831300812529,0.006070420084310481,0.004904079934095695,0.0029933259094191557,0.005314132102234574,0.004118252056394804,0.00663626400921483,0.006554387843269582,0.004473253849269013,0.005550675634551173,0.008856635930193795,0.012081390648431136,0.012525573839150057,0.020171514568817068,0.02051072889977338,0.013358143583597248
"cosine,avg,not important",0.7823,0.7772000000000001,0.7777999999999999,0.7533999999999998,0.7375,0.7376,0.7378,0.7377,0.7249,0.7426999999999999,0.7215,0.7153999999999999,0.7106,0.708,0.7165999999999999,0.712,0.7135,0.7177,0.7188999999999999,0.711
"cosine,std,not important",0.004148493702538312,0.003682390527904397,0.0021354156504062643,0.004004996878900161,0.008628441342444192,0.0038781438859330666,0.003919183588453089,0.0040012498047485145,0.005682429058070154,0.007376313442364017,0.005426785420486058,0.0082849260708832,0.007525955088890718,0.011357816691600558,0.015252540771950108,0.01127829774389733,0.013749545447032071,0.011100000000000011,0.016164467204334343,0.01793878479719292
"norm,avg,not important",0.784,0.7832000000000001,0.7813000000000001,0.7763,0.7722,0.7763,0.7675,0.7671,0.7651,0.7522,0.7525,0.7489000000000001,0.7448,0.7430999999999999,0.7383,0.7264999999999999,0.7363,0.723,0.7258,0.72
"norm,std,not important",0.0027928480087537908,0.0048948953002081715,0.0043370496884402926,0.0038742741255621063,0.002357965224510321,0.0037960505792204646,0.0034713109915419592,0.004908156476723215,0.003534119409414461,0.007236021006050223,0.005920304046246279,0.004036087214122117,0.0036823905279043966,0.003806573262134859,0.006229767250869014,0.00861684396980705,0.004220189569201842,0.006663332499583078,0.007166589146867573,0.012625371281669316
